Index,Potencia,Hour,Date,Month,Year,Day,Day (Spanish),Tecnología
2024-01-11 05:00:00,-147.84,05:00,2024-01-11,January,2024,Thursday,Jueves,Exportación
2024-01-11 06:00:00,-160.99,06:00,2024-01-11,January,2024,Thursday,Jueves,Exportación
2024-01-11 07:00:00,-191.64,07:00,2024-01-11,January,2024,Thursday,Jueves,Exportación
2024-01-11 08:00:00,-122.17,08:00,2024-01-11,January,2024,Thursday,Jueves,Exportación
2024-01-11 09:00:00,-144.96,09:00,2024-01-11,January,2024,Thursday,Jueves,Exportación
2024-01-11 10:00:00,-191.5,10:00,2024-01-11,January,2024,Thursday,Jueves,Exportación
2024-01-11 11:00:00,-175.18,11:00,2024-01-11,January,2024,Thursday,Jueves,Exportación
2024-01-11 12:00:00,-185.02,12:00,2024-01-11,January,2024,Thursday,Jueves,Exportación
2024-01-11 13:00:00,-125.85,13:00,2024-01-11,January,2024,Thursday,Jueves,Exportación
2024-01-11 14:00:00,-190.23,14:00,2024-01-11,January,2024,Thursday,Jueves,Exportación
2024-01-11 15:00:00,-139.17,15:00,2024-01-11,January,2024,Thursday,Jueves,Exportación
2024-01-11 16:00:00,-168.35,16:00,2024-01-11,January,2024,Thursday,Jueves,Exportación
2024-01-11 17:00:00,-143.7,17:00,2024-01-11,January,2024,Thursday,Jueves,Exportación
2024-01-11 18:00:00,-123.22,18:00,2024-01-11,January,2024,Thursday,Jueves,Exportación
2024-01-11 19:00:00,-124.32,19:00,2024-01-11,January,2024,Thursday,Jueves,Exportación
2024-01-11 20:00:00,-107.39,20:00,2024-01-11,January,2024,Thursday,Jueves,Exportación
2024-01-11 21:00:00,-117.41,21:00,2024-01-11,January,2024,Thursday,Jueves,Exportación
2024-01-11 22:00:00,-225.98,22:00,2024-01-11,January,2024,Thursday,Jueves,Exportación
2024-01-11 23:00:00,-220.39,23:00,2024-01-11,January,2024,Thursday,Jueves,Exportación
2024-01-12 00:00:00,-172.9,00:00,2024-01-12,January,2024,Friday,Viernes,Exportación
2024-01-12 01:00:00,-137.04,01:00,2024-01-12,January,2024,Friday,Viernes,Exportación
2024-01-12 02:00:00,-210.63,02:00,2024-01-12,January,2024,Friday,Viernes,Exportación
2024-01-12 03:00:00,-175.87,03:00,2024-01-12,January,2024,Friday,Viernes,Exportación
2024-01-12 04:00:00,-195.43,04:00,2024-01-12,January,2024,Friday,Viernes,Exportación
2024-01-12 05:00:00,-184.29,05:00,2024-01-12,January,2024,Friday,Viernes,Exportación
